gene,importance_sum,degree,importance_mean
CYP4A11,0.10432073,64,0.0016300113638862967
GGT1,0.10419572,70,0.001488510306392397
SYNJ1,0.10339078,26,0.003976568579673767
RAB7A,0.1029311,45,0.0022873577144410873
MNAT1,0.10123451,67,0.0015109628438949585
NUP160,0.10034963,92,0.0010907568199479062
RAP1B,0.0984716,70,0.0014067370976720537
CCND1,0.097919315,164,0.0005970689945104645
CSNK2B,0.09751072,59,0.0016527240306644117
KCNJ11,0.09750806,66,0.001477394817453442
TRAF6,0.09694031,161,0.0006021137193123006
JAG1,0.09553783,58,0.0016472039037737354
GTF2H4,0.095186494,50,0.001903729885816574
MAPK14,0.09501185,286,0.00033220927511061824
ADCY2,0.093936235,119,0.0007893801236353
PPP2R5E,0.09386049,55,0.0017065544020045888
PPP2R1B,0.093458354,119,0.0007853643233034791
MAP2K3,0.093454406,122,0.0007660197185688332
WNT3A,0.092937864,57,0.0016304888484770792
CSK,0.09160802,57,0.0016071582049654242
DVL3,0.09080805,55,0.0016510554335334084
CYP3A4,0.0904407,100,0.0009044069796800613
SHC2,0.089477554,54,0.0016569917400677998
RXRA,0.089447215,88,0.0010164456272667105
GRB2,0.088691,386,0.0002297694394316698
IQGAP1,0.088688545,58,0.0015291128436039235
CDK1,0.087350555,121,0.0007219054112749652
EGFR,0.08634074,205,0.0004211743430393498
FGB,0.08561319,79,0.0010837112800984442
ADCY7,0.08518063,106,0.0008035908751892594
FOS,0.08517967,202,0.00042168154279784403
ERBB2,0.08507928,97,0.000877106005383521
CCND3,0.08406929,50,0.0016813857853412628
PEDS1,0.08328721,54,0.0015423557272663823
KAT5,0.081267156,56,0.0014511992090514728
PPP2CA,0.081244916,153,0.0005310125210705926
IFNA2,0.08016719,52,0.0015416767161626082
IFNA5,0.079614185,51,0.0015610624469962774
FGA,0.079277515,82,0.0009667989684314262
CUL1,0.07882395,122,0.0006460979214457215
SCNN1D,0.078736134,31,0.0025398752862407317
FRS2,0.07806642,80,0.0009758302941918374
POLR2H,0.07803647,80,0.0009754559025168419
DYNC1H1,0.077839024,58,0.001342052144223246
H3-3A,0.07774105,67,0.0011603141676134138
GNG12,0.07739604,107,0.0007233275013549305
CALM3,0.07732861,232,0.0003333129631034259
AGTR1,0.0771383,120,0.0006428191438317299
PLCB1,0.077033006,178,0.0004327696946899543
RHEB,0.07637318,54,0.00141431818957682
PTGS2,0.07578159,115,0.0006589703585790552
H2BC11,0.0750249,88,0.0008525557138703086
FGFR3,0.074895725,79,0.0009480471475214897
CYP4F2,0.074300505,64,0.001160945394076407
YWHAB,0.0730763,95,0.0007692242139264157
TSC1,0.07300274,53,0.0013774102026561522
WNT4,0.07205604,55,0.0013101098212328823
MAP2K4,0.071965694,135,0.0005330792179814092
SLC7A6,0.07181324,37,0.0019408983958734047
IFNA13,0.07154407,55,0.0013008013367652894
CDK9,0.07139742,46,0.0015521177455135014
IGF1,0.07124721,81,0.0008795952171455195
GNAI3,0.07110163,84,0.0008464479552847999
GNAO1,0.07055251,46,0.0015337502826815066
CCNE1,0.07054949,92,0.0007668422616046408
CYCS,0.070442386,99,0.0007115392522378402
PARP1,0.07015427,52,0.0013491206157665986
CYP11A1,0.06917857,37,0.001869690982071129
PTGS1,0.06895471,73,0.0009445851183917424
GRM1,0.06880291,39,0.001764177129818843
PLCB2,0.06710712,117,0.0005735651168048892
ACE,0.06608718,47,0.0014061101890624837
RRM2,0.06534921,57,0.0011464773040068777
STAT5A,0.06487219,132,0.0004914559875473832
CYP1A2,0.06479391,68,0.0009528515750870985
PLG,0.06474642,55,0.001177207583730871
MRE11,0.064611,51,0.0012668824078989965
PC,0.06448764,50,0.001289752870798111
GNAI1,0.0644518,105,0.0006138266552062261
H2BC4,0.06374515,89,0.0007162376233700956
COASY,0.063362,9,0.0070402224858601885
FAS,0.06330842,79,0.000801372377178337
HSPG2,0.0622107,28,0.002221810764500073
LMNA,0.062047917,38,0.0016328399314692146
IL6ST,0.06198786,42,0.0014759013872771036
ACADM,0.061965946,57,0.001087121861545663
GSS,0.061712734,30,0.0020570911467075346
CHEK2,0.061390508,42,0.0014616787611019043
STAT3,0.061264455,206,0.00029740026853616956
CYP1A1,0.061258167,45,0.001361292600631714
TRAF3,0.061256934,66,0.0009281353629899747
PML,0.061195157,46,0.0013303295101808465
HMOX1,0.060661074,43,0.0014107226459092873
FGF4,0.060642816,100,0.0006064281612634659
CCNH,0.060629252,71,0.0008539331316108435
CYP4F3,0.060525037,59,0.0010258480906486511
BTRC,0.060198862,96,0.0006270714802667499
CACNA1A,0.0599774,86,0.0006974116400923839
SERPINE1,0.059912547,42,0.001426489225455693
GAB2,0.05990099,79,0.0007582404002358642
HCK,0.059855435,49,0.001221539490685171
PSMD7,0.059440482,39,0.0015241149335335463
FOXO1,0.05929722,92,0.0006445349882478299
H3C11,0.059214275,71,0.0008340038778916211
CD3D,0.058740694,45,0.0013053487572405073
MAPK10,0.05837676,154,0.00037906986552399476
ACTB,0.05828516,87,0.0006699443891130645
TPTEP2-CSNK1E,0.058176182,41,0.0014189312734254977
SCN10A,0.058121115,61,0.0009528051634303859
RFC5,0.058082685,62,0.0009368174979763646
PPP2R1A,0.058066532,146,0.00039771597271096216
CFAP298,0.057907514,1,0.05790751427412033
CFLAR,0.057379927,34,0.0016876449260641547
LEF1,0.057121284,69,0.0008278447000876716
OGDH,0.056822896,32,0.0017757155001163483
PSMA1,0.056689065,33,0.0017178504530227547
HCN4,0.05663312,55,0.00102969306436452
COPB1,0.056109402,33,0.001700284919052413
HMGCR,0.05605285,48,0.0011677676811814308
PLA2G4F,0.055899285,35,0.0015971224222864424
ACAT2,0.05559389,50,0.0011118777841329574
PTPN11,0.05513655,199,0.00027706809154706984
VAV2,0.055010777,92,0.0005979432279001112
JAK1,0.054790374,156,0.00035122034545892326
PLA2G4E,0.053908944,34,0.001585557180292466
GRIN1,0.053665694,111,0.0004834747193632899
PSMD12,0.05357491,40,0.0013393727131187916
GNAI2,0.0530386,99,0.0005357434427497363
HSPB1,0.052569047,33,0.0015930014126228564
PTGIS,0.052420963,71,0.0007383234169281704
ATP1A4,0.05230955,162,0.0003228984589194074
GNG2,0.05150242,104,0.0004952155913297946
FGF9,0.05131831,98,0.0005236562265425312
PIK3CG,0.051224966,83,0.000617168260266982
SIRT1,0.051209588,46,0.0011132519044305968
