pathway,degree,in_importance_sum,in_importance_mean,n_nodes
Antigen processing and presentation - Homo sapiens (human),452,0.33508193,0.0007413317,1
IL12-mediated signaling events,460,0.33450955,0.00072719465,1
Transmission across Chemical Synapses,429,0.33251482,0.0007750928,1
Leishmaniasis - Homo sapiens (human),532,0.3324656,0.0006249353,1
JAK-STAT-Core,438,0.33228022,0.00075863063,1
Inflammatory bowel disease - Homo sapiens (human),513,0.3296882,0.00064266706,1
Ectoderm Differentiation,386,0.32894173,0.00085218064,1
Alzheimer disease - Homo sapiens (human),504,0.3288246,0.00065242976,1
Amyotrophic lateral sclerosis - Homo sapiens (human),471,0.32195175,0.0006835494,1
Axon guidance - Homo sapiens (human),487,0.31824425,0.00065347896,1
Anti-inflammatory response favouring Leishmania parasite infection,452,0.31762442,0.0007027089,1
Interferon alpha/beta signaling,371,0.31732708,0.00085532904,1
Measles - Homo sapiens (human),448,0.31645694,0.0007063771,1
Extracellular matrix organization,527,0.3114336,0.0005909556,1
Sensory Perception,444,0.3053024,0.00068761804,1
Coronavirus disease - COVID-19 - Homo sapiens (human),464,0.30394217,0.00065504777,1
cAMP signaling pathway - Homo sapiens (human),436,0.3038739,0.00069695845,1
Leishmania parasite growth and survival,452,0.30351183,0.00067148637,1
PIP3 activates AKT signaling,518,0.3023684,0.0005837228,1
Salmonella infection - Homo sapiens (human),456,0.30079794,0.0006596446,1
Signaling by WNT,424,0.2996245,0.00070666155,1
Cell-Cell communication,421,0.29590428,0.00070286053,1
Neural Crest Differentiation,409,0.29435447,0.0007196931,1
Ras signaling,451,0.2942267,0.0006523874,1
NF-kappa B signaling pathway - Homo sapiens (human),415,0.2913892,0.00070214266,1
Rheumatoid arthritis - Homo sapiens (human),514,0.29011443,0.00056442496,1
Modulators of TCR signaling and T cell activation,407,0.28954148,0.00071140414,1
Systemic lupus erythematosus - Homo sapiens (human),450,0.28880653,0.00064179226,1
Transcriptional regulation by RUNX1,414,0.28251362,0.0006824,1
Prion disease - Homo sapiens (human),373,0.28165746,0.00075511384,1
BCR,434,0.281332,0.0006482304,1
Deubiquitination,469,0.28034085,0.0005977417,1
G alpha (s) signalling events,337,0.27996206,0.00083074794,1
Regulation of toll-like receptor signaling pathway,412,0.27842578,0.0006757907,1
T cell receptor signaling pathway - Homo sapiens (human),536,0.2770925,0.0005169636,1
Chagas disease - Homo sapiens (human),362,0.27470505,0.00075885374,1
RHO GTPase Effectors,382,0.2737027,0.0007164992,1
M Phase,363,0.27347574,0.0007533767,1
TNFalpha,409,0.27304205,0.0006675845,1
Regulation of actin cytoskeleton - Homo sapiens (human),434,0.27066314,0.0006236478,1
CD4 T cell receptor signaling-NFkB cascade,491,0.2703509,0.00055061287,1
Signaling by Nuclear Receptors,431,0.26861554,0.0006232379,1
Male infertility,387,0.26689222,0.000689644,1
B Cell Receptor Signaling Pathway,438,0.26541537,0.00060597114,1
IL-7 signaling,396,0.26515174,0.0006695751,1
MicroRNAs in cancer - Homo sapiens (human),422,0.26476187,0.0006273978,1
NOD-like receptor signaling pathway - Homo sapiens (human),392,0.2642664,0.00067414896,1
Pathogenic Escherichia coli infection - Homo sapiens (human),451,0.2612757,0.0005793253,1
Type II interferon signaling (IFNG),316,0.26013738,0.00082321954,1
Brain-derived neurotrophic factor (BDNF) signaling pathway,350,0.25826156,0.0007378902,1
Cell surface interactions at the vascular wall,324,0.2580235,0.0007963688,1
Intestinal immune network for IgA production - Homo sapiens (human),459,0.2567188,0.00055930024,1
Insulin Signaling,393,0.25661206,0.0006529569,1
Spinal Cord Injury,442,0.25548515,0.0005780207,1
T-cell receptor (TCR) signaling pathway,470,0.25196022,0.0005360856,1
Hippo-Merlin Signaling Dysregulation,350,0.25193098,0.0007198028,1
Fluid shear stress and atherosclerosis - Homo sapiens (human),373,0.25174206,0.0006749117,1
O-linked glycosylation,296,0.25082612,0.00084738556,1
Gastrin signaling pathway,327,0.25071344,0.00076670776,1
Senescence and Autophagy in Cancer,291,0.24888985,0.00085529155,1
TCR signaling,358,0.2475368,0.00069144357,1
Yersinia infection - Homo sapiens (human),420,0.24708165,0.00058828964,1
IL23-mediated signaling events,286,0.24690787,0.00086331426,1
Focal adhesion - Homo sapiens (human),366,0.24420846,0.0006672362,1
Apoptosis,391,0.24387403,0.0006237187,1
Calcium Regulation in the Cardiac Cell,400,0.24282692,0.0006070673,1
Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),300,0.2417203,0.00080573437,1
CD4 T cell receptor signaling-JNK cascade,347,0.24029228,0.00069248496,1
Antigen processing: Ubiquitination & Proteasome degradation,429,0.23990679,0.0005592233,1
Hepatitis C - Homo sapiens (human),306,0.2395304,0.00078277907,1
Proteoglycans in cancer - Homo sapiens (human),367,0.23919895,0.0006517683,1
Calcineurin-regulated NFAT-dependent transcription in lymphocytes,387,0.23869874,0.0006167926,1
EPO signaling,373,0.23850234,0.00063941645,1
Chromatin organization,310,0.23639674,0.0007625701,1
Chromatin modifying enzymes,310,0.23639251,0.0007625565,1
Myometrial relaxation and contraction pathways,375,0.23594283,0.00062918087,1
Acute viral myocarditis,340,0.23537259,0.0006922723,1
Glycosaminoglycan metabolism,314,0.23478359,0.00074771844,1
Adipogenesis,326,0.2334198,0.0007160117,1
ADORA2B mediated anti-inflammatory cytokines production,307,0.23325625,0.00075979234,1
Neurotransmitter receptors and postsynaptic signal transmission,289,0.23270404,0.0008052043,1
Focal Adhesion,381,0.23221374,0.00060948485,1
Breast cancer pathway,297,0.23013137,0.0007748531,1
Transport of inorganic cations/anions and amino acids/oligopeptides,329,0.23006558,0.0006992875,1
TNFR2 non-canonical NF-kB pathway,312,0.22984387,0.00073667907,1
CXCR4-mediated signaling events,315,0.22955185,0.00072873605,1
Wnt signaling pathway - Homo sapiens (human),336,0.22841972,0.0006798206,1
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,415,0.22838908,0.00055033516,1
IL4,312,0.22763376,0.00072959537,1
PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),361,0.22762695,0.00063054555,1
KitReceptor,299,0.22762223,0.0007612783,1
PDGFR-beta signaling pathway,363,0.22711372,0.0006256576,1
Organelle biogenesis and maintenance,228,0.22696404,0.0009954564,1
Inflammatory mediator regulation of TRP channels - Homo sapiens (human),286,0.22689094,0.00079332496,1
Huntington disease - Homo sapiens (human),343,0.22619192,0.00065945165,1
SUMO E3 ligases SUMOylate target proteins,305,0.2246655,0.00073660817,1
Pathways Regulating Hippo Signaling,328,0.22436027,0.00068402523,1
IL-17 signaling pathway - Homo sapiens (human),349,0.22374533,0.0006411041,1
Negative regulation of the PI3K/AKT network,374,0.22267656,0.00059539184,1
Ciliary landscape,293,0.22267485,0.0007599824,1
Hepatitis B - Homo sapiens (human),355,0.22232215,0.0006262596,1
Necroptosis - Homo sapiens (human),262,0.22211303,0.00084775966,1
Cell junction organization,290,0.22017477,0.00075922336,1
Selective expression of chemokine receptors during T-cell polarization,323,0.22002637,0.0006811962,1
Parkinson disease - Homo sapiens (human),305,0.21973221,0.0007204335,1
Regulation of Actin Cytoskeleton,318,0.2195468,0.00069039874,1
Factors involved in megakaryocyte development and platelet production,258,0.21848688,0.00084684836,1
TCF dependent signaling in response to WNT,274,0.21809502,0.00079596724,1
Ub-specific processing proteases,345,0.21804835,0.0006320242,1
VEGF,374,0.21679193,0.00057965756,1
"Growth hormone synthesis, secretion and action - Homo sapiens (human)",265,0.21539256,0.0008128021,1
Downstream TCR signaling,303,0.21489093,0.000709211,1
Proteasome Degradation,268,0.21457238,0.00080064323,1
Regulatory circuits of the STAT3 signaling pathway,296,0.21439552,0.0007243092,1
Validated targets of C-MYC transcriptional repression,237,0.2132132,0.0008996338,1
Breast cancer - Homo sapiens (human),296,0.21285161,0.0007190933,1
Olfactory transduction - Homo sapiens (human),268,0.21245338,0.0007927365,1
HIF-1 signaling pathway - Homo sapiens (human),260,0.21188532,0.0008149435,1
Apoptosis - Homo sapiens (human),289,0.21123117,0.0007309037,1
Relaxin signaling pathway - Homo sapiens (human),257,0.21058305,0.0008193893,1
Pre-implantation embryo,238,0.21029867,0.0008836079,1
AP-1 transcription factor network,297,0.20930037,0.000704715,1
Metapathway biotransformation Phase I and II,254,0.20887443,0.0008223403,1
Chemokine receptors bind chemokines,369,0.20882289,0.0005659157,1
SHP2 signaling,250,0.20847745,0.0008339098,1
SUMOylation,306,0.20765921,0.0006786249,1
Downstream signaling in naïve CD8+ T cells,313,0.20562416,0.0006569462,1
Hepatocellular carcinoma - Homo sapiens (human),280,0.2055999,0.0007342854,1
Phospholipase D signaling pathway - Homo sapiens (human),292,0.20480202,0.00070137676,1
Peptide GPCRs,325,0.20374125,0.00062689616,1
Epithelial to mesenchymal transition in colorectal cancer,295,0.20334731,0.00068931293,1
Spinocerebellar ataxia - Homo sapiens (human),320,0.20206088,0.00063144026,1
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway,267,0.20172353,0.00075551885,1
B cell receptor signaling pathway - Homo sapiens (human),319,0.20146492,0.0006315515,1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,309,0.20133235,0.000651561,1
Regulation of TP53 Activity,242,0.20019487,0.0008272515,1
Kit receptor signaling pathway,277,0.200188,0.0007227003,1
Staphylococcus aureus infection - Homo sapiens (human),355,0.20013925,0.00056377257,1
Muscle contraction,264,0.19917513,0.00075445126,1
EGF-EGFR signaling pathway,307,0.19901744,0.00064826524,1
Cell Cycle Checkpoints,252,0.19839107,0.0007872661,1
Interleukin-1 family signaling,282,0.19832481,0.0007032795,1
Prolactin Signaling Pathway,318,0.19776216,0.0006218936,1
Amoebiasis - Homo sapiens (human),238,0.19657455,0.0008259435,1
DNA Repair,285,0.19645227,0.00068930624,1
PD-1 signaling,163,0.19604239,0.001202714,1
Asparagine N-linked glycosylation,302,0.19592099,0.000648745,1
Mitotic Prometaphase,236,0.19449295,0.0008241227,1
RAC1 GTPase cycle,316,0.1939373,0.0006137256,1
Hepatitis B infection,292,0.19381306,0.00066374335,1
Response to elevated platelet cytosolic Ca2+,228,0.19357692,0.00084902154,1
Thyroid hormone signaling pathway - Homo sapiens (human),220,0.19294186,0.0008770084,1
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",353,0.19275226,0.00054604036,1
Cell-cell junction organization,240,0.19245328,0.00080188864,1
Cilium Assembly,191,0.19124772,0.0010012969,1
Genotoxicity pathway,272,0.18957344,0.0006969612,1
C-type lectin receptor signaling pathway - Homo sapiens (human),282,0.18837707,0.0006680038,1
Protein digestion and absorption - Homo sapiens (human),211,0.18833712,0.000892593,1
EGF-Core,311,0.18828902,0.0006054309,1
Platelet activation - Homo sapiens (human),306,0.1878768,0.0006139765,1
Fc epsilon receptor (FCERI) signaling,304,0.18755521,0.0006169579,1
Signaling by NOTCH,270,0.18748638,0.000694394,1
TNF signaling pathway - Homo sapiens (human),327,0.18711725,0.00057222403,1
Biological oxidations,240,0.18656929,0.00077737204,1
JAK STAT MolecularVariation 2,264,0.18643263,0.0007061842,1
Nonalcoholic fatty liver disease,269,0.18587519,0.0006909858,1
Prolactin,272,0.18426076,0.00067742926,1
Ion channel transport,312,0.18385363,0.00058927445,1
Toll-like Receptor Cascades,297,0.18280494,0.00061550486,1
Cushing syndrome - Homo sapiens (human),250,0.18219936,0.00072879746,1
Costimulation by the CD28 family,417,0.18210901,0.00043671226,1
Platelet degranulation ,222,0.18174972,0.00081869244,1
Thermogenesis - Homo sapiens (human),238,0.1814644,0.00076245546,1
Olfactory Signaling Pathway,206,0.18127456,0.0008799736,1
IL4-mediated signaling events,294,0.18104912,0.00061581336,1
Constitutive Signaling by Aberrant PI3K in Cancer,326,0.18101874,0.0005552722,1
Nucleotide-binding Oligomerization Domain (NOD) pathway,204,0.17906205,0.00087775517,1
Neutrophil extracellular trap formation - Homo sapiens (human),280,0.17842071,0.0006372168,1
Signaling by SCF-KIT,248,0.17787898,0.00071725395,1
Apelin signaling pathway - Homo sapiens (human),216,0.17766498,0.0008225231,1
Gastric cancer - Homo sapiens (human),272,0.17705226,0.0006509274,1
cGMP-PKG signaling pathway - Homo sapiens (human),242,0.17696035,0.00073124113,1
Apoptosis Modulation and Signaling,243,0.17656863,0.00072661985,1
IL2-mediated signaling events,280,0.17646539,0.00063023355,1
Small cell lung cancer,232,0.17600039,0.00075862237,1
Inflammatory Response Pathway,233,0.1758095,0.00075454725,1
Cholinergic synapse - Homo sapiens (human),250,0.17528953,0.00070115813,1
Overview of leukocyte-intrinsic Hippo pathway functions,161,0.17518555,0.001088109,1
Potassium Channels,317,0.17512241,0.0005524366,1
Toll-like receptor signaling pathway - Homo sapiens (human),276,0.17503907,0.00063419953,1
TGF_beta_Receptor,311,0.17455937,0.00056128413,1
IL-3 signaling pathway,234,0.17392881,0.0007432855,1
Death Receptor Signalling,263,0.17367849,0.00066037447,1
Metabolism of vitamins and cofactors,255,0.17364058,0.0006809434,1
Mitotic Metaphase and Anaphase,204,0.17342623,0.00085012853,1
Asthma - Homo sapiens (human),301,0.1734168,0.0005761355,1
Glucocorticoid Receptor Pathway,228,0.17314361,0.0007594018,1
DNA Double-Strand Break Repair,199,0.17308417,0.0008697697,1
mTOR signaling pathway - Homo sapiens (human),253,0.17229918,0.0006810244,1
Folate Metabolism,205,0.1721824,0.00083991414,1
Adherens junctions interactions,191,0.17186159,0.0008997989,1
CDC42 GTPase cycle,269,0.17125562,0.00063663797,1
Diabetic cardiomyopathy - Homo sapiens (human),251,0.17096189,0.00068112306,1
IL-6 signaling pathway,212,0.17051694,0.00080432516,1
Glutamatergic synapse - Homo sapiens (human),258,0.1694086,0.0006566225,1
Toll-like Receptor Signaling Pathway,279,0.16918352,0.00060639257,1
C-type lectin receptors (CLRs),248,0.16899475,0.00068143045,1
Signaling events mediated by Stem cell factor receptor (c-Kit),255,0.16861273,0.0006612264,1
Malaria - Homo sapiens (human),209,0.16860373,0.00080671645,1
IL-4 signaling pathway,218,0.16804877,0.00077086594,1
PI3K/AKT Signaling in Cancer,346,0.16794029,0.00048537657,1
Fc gamma R-mediated phagocytosis - Homo sapiens (human),273,0.16724534,0.0006126203,1
TYROBP causal network in microglia,214,0.16677296,0.0007793129,1
Retrograde endocannabinoid signaling - Homo sapiens (human),208,0.1662725,0.00079938705,1
Integrin,232,0.1660959,0.0007159306,1
FoxO signaling pathway - Homo sapiens (human),263,0.16591242,0.0006308457,1
RHO GTPases Activate Formins,181,0.16495371,0.00091134646,1
Neurotrophin signaling pathway - Homo sapiens (human),266,0.16494225,0.00062008365,1
Autophagy - animal - Homo sapiens (human),254,0.1648252,0.0006489181,1
IL2,280,0.1648212,0.0005886471,1
DNA damage response (only ATM dependent),266,0.16397281,0.00061643915,1
Vascular smooth muscle contraction - Homo sapiens (human),219,0.1632741,0.0007455438,1
HIV Infection,271,0.16315019,0.00060203025,1
MHC class II antigen presentation,274,0.16307656,0.00059516996,1
TNFs bind their physiological receptors,249,0.16303791,0.0006547707,1
Novel intracellular components of RIG-I-like receptor (RLR) pathway,192,0.16246432,0.0008461683,1
Antigen processing-Cross presentation,195,0.16217051,0.00083164364,1
Oocyte meiosis - Homo sapiens (human),224,0.16191216,0.00072282215,1
Osteoblast differentiation,254,0.16135924,0.0006352726,1
Purine metabolism,274,0.16106938,0.00058784446,1
Cell cycle,153,0.16100775,0.0010523382,1
Small cell lung cancer - Homo sapiens (human),231,0.16080649,0.000696132,1
Phosphatidylinositol signaling system - Homo sapiens (human),194,0.16023955,0.00082597707,1
Mitotic Anaphase,200,0.15877268,0.0007938634,1
Prostate cancer - Homo sapiens (human),241,0.15838759,0.0006572099,1
Phospholipid metabolism,263,0.15821359,0.00060157257,1
Adherens junction - Homo sapiens (human),227,0.15809241,0.0006964423,1
Renin secretion - Homo sapiens (human),212,0.15766856,0.00074371963,1
RHOA GTPase cycle,270,0.15688412,0.00058105227,1
Pertussis - Homo sapiens (human),201,0.15683728,0.000780285,1
Development and heterogeneity of the ILC family,189,0.15624323,0.00082668377,1
Toll Like Receptor TLR6:TLR2 Cascade,249,0.15598772,0.00062645675,1
Arrhythmogenic Right Ventricular Cardiomyopathy,197,0.15584634,0.00079109817,1
RNA transport - Homo sapiens (human),215,0.1556154,0.0007237926,1
Signaling by the B Cell Receptor (BCR),280,0.15482737,0.0005529549,1
DAP12 interactions,210,0.15476073,0.00073695584,1
Oxytocin signaling pathway - Homo sapiens (human),247,0.15429056,0.00062465813,1
Adrenergic signaling in cardiomyocytes - Homo sapiens (human),207,0.1541438,0.000744656,1
Chromosomal and microsatellite instability in colorectal cancer,201,0.1541341,0.0007668363,1
Non-alcoholic fatty liver disease - Homo sapiens (human),209,0.15412776,0.0007374534,1
Endoderm differentiation,205,0.15392156,0.00075083686,1
Toll Like Receptor 4 (TLR4) Cascade,272,0.15380089,0.00056544447,1
Selenium Micronutrient Network,194,0.15318441,0.0007896104,1
NRF2 pathway,217,0.15312378,0.00070563954,1
LPA receptor mediated events,194,0.15302156,0.0007887709,1
Signaling events mediated by PTP1B,236,0.15293664,0.0006480366,1
Clathrin-mediated endocytosis,200,0.15239044,0.0007619522,1
TCR signaling in naïve CD4+ T cells,333,0.15173122,0.0004556493,1
Interleukin-2 family signaling,206,0.15082204,0.00073214585,1
"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",191,0.1504584,0.0007877403,1
Tight junction - Homo sapiens (human),234,0.15040872,0.0006427723,1
MyD88-independent TLR4 cascade ,246,0.14953616,0.0006078706,1
Toll Like Receptor 2 (TLR2) Cascade,249,0.14948578,0.0006003445,1
Platelet homeostasis,211,0.14942144,0.0007081585,1
Glucocorticoid receptor regulatory network,202,0.14909054,0.000738072,1
Keratinization,138,0.14906615,0.0010801895,1
Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),179,0.14898095,0.0008322958,1
Epigenetic regulation of gene expression,164,0.14882001,0.0009074391,1
il-2 receptor beta chain in t cell activation,216,0.14845468,0.0006872902,1
Signaling by NTRKs,265,0.14837703,0.00055991334,1
AGE-RAGE pathway,202,0.14831017,0.00073420873,1
IL6,230,0.14822534,0.000644458,1
"Non-genomic actions of 1,25 dihydroxyvitamin D3",236,0.14818679,0.00062791014,1
GMCSF-mediated signaling events,198,0.14800522,0.0007475011,1
IL-1 signaling pathway,211,0.14798106,0.00070133206,1
IL12 signaling mediated by STAT4,224,0.14783497,0.00065997755,1
Processing of Capped Intron-Containing Pre-mRNA,207,0.14782637,0.00071413704,1
Melanoma - Homo sapiens (human),198,0.14752068,0.0007450539,1
Amplification of signal from the kinetochores,129,0.1474764,0.0011432279,1
CD4 T cell receptor signaling-ERK cascade,236,0.1473859,0.0006245165,1
Programmed Cell Death,253,0.14729051,0.0005821759,1
Adipocytokine signaling pathway - Homo sapiens (human),171,0.14715557,0.0008605589,1
keratinocyte differentiation,245,0.14710417,0.0006004252,1
Corticotropin-releasing hormone signaling pathway,208,0.14653385,0.00070448965,1
Endosomal/Vacuolar pathway,170,0.14644688,0.00086145225,1
Lung fibrosis,260,0.14604482,0.00056171085,1
Cardiac conduction,201,0.14571375,0.000724944,1
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,222,0.14569017,0.00065626204,1
Ciliopathies,323,0.14567885,0.0004510181,1
Oncostatin M Signaling Pathway,194,0.14529188,0.00074892724,1
Prostaglandin Synthesis and Regulation,202,0.14492501,0.0007174506,1
Notch,245,0.14489806,0.0005914206,1
Phosphatidylinositol phosphate metabolism,153,0.14475326,0.00094609975,1
Interleukin-1 signaling,202,0.14470889,0.0007163806,1
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",175,0.14457875,0.0008261643,1
NO-cGMP-PKG mediated Neuroprotection,181,0.14455606,0.00079865224,1
Dilated cardiomyopathy - Homo sapiens (human),164,0.14387925,0.0008773125,1
