gene_i,gene_j,pair_importance,n_shared_pathways
GRB2,SRC,5.7137679153876006e-05,158
F13B,FGG,5.70480807446927e-05,28
CYP2C8,CYP2C9,5.6961302251468116e-05,38
AGTR1,KCNJ11,5.692244840245454e-05,98
ARC,TCF12,5.690650331699686e-05,6
ATP1B1,PCSK2,5.6792706500469883e-05,260
KCNA5,KCNH2,5.668398125657761e-05,1650
MAPK14,MAPK3,5.6656754695601105e-05,252
ATP1B1,DRD1,5.663334882828013e-05,364
F13A1,FGB,5.65224643925642e-05,290
MAPK3,RAC1,5.6479008425486504e-05,232
ABAT,SLC1A1,5.636475243250451e-05,52
IFT22,TNPO1,5.632633385577179e-05,2
DRD1,HTR1A,5.613007239512186e-05,5292
KCNJ11,KCNJ3,5.6030392833280686e-05,306
CCNH,POLR2H,5.603033754762732e-05,99
CYP1A2,CYP2C8,5.594403852171581e-05,50
NR3C2,SLC22A2,5.585255678339784e-05,700
KCNK1,SLC8A1,5.566517052433832e-05,3528
H3C11,KDM3A,5.56451705051586e-05,1
SLC38A4,SLC7A6,5.563767070858014e-05,30
CACNA2D2,KCNH2,5.561715896774722e-05,1470
CYP4F2,CYP4F8,5.549495026617316e-05,51
RAP1B,SRC,5.536457391830396e-05,48
CACNA2D2,SLC8A1,5.514527755567795e-05,9720
RYR2,TNNT1,5.5097743723290606e-05,294
H2BC3,H3-3A,5.489539549841105e-05,30
MAPK3,STAT3,5.4734629390495886e-05,276
ATP1B2,RYR2,5.452684701029442e-05,104
RPL31,RPLP2,5.4326448033492625e-05,18
ATP1B1,SLC8A1,5.423039004050464e-05,954
ADCY1,ADCY2,5.4220757412792864e-05,108
AQP3,SLC12A3,5.419104249937412e-05,56
NUP85,SEH1L,5.417003991944873e-05,860
PIK3CB,PIK3R1,5.414407035749986e-05,368
AQP3,SLC22A2,5.393321977490428e-05,280
ATP1B1,HCN4,5.3878259020478936e-05,49
HMGCR,MSMO1,5.3716381013479975e-05,58
GRK6,SAP18,5.3698542615165934e-05,1
ATP1B1,CALM1,5.353120817661039e-05,52
FGB,PLG,5.3461781053802454e-05,64
FDFT1,MSMO1,5.341505617595388e-05,132
CYP1A1,CYP2C8,5.325028876779214e-05,20
ADCY3,ADCY5,5.3055795071532685e-05,108
CACNA2D2,HCN4,5.298829309493215e-05,490
PIK3R1,PIK3R2,5.2901083199537646e-05,864
ABAT,SLC1A2,5.27460476139191e-05,4
CYP2C8,CYP3A4,5.270701107396025e-05,35
HCN4,KCNH2,5.2599830602533905e-05,147
HCN4,KCNA5,5.256336359899627e-05,539
ATP1B2,HTR1A,5.2450836579686e-05,728
ATP1A4,ATP1B2,5.243266151603015e-05,148
KCNJ4,TNNT1,5.236634907870968e-05,294
KCND3,KCNJ11,5.213255577896092e-05,49
KCNK1,RYR2,5.199413414785827e-05,392
MAN1A2,SEC61G,5.1968611823364576e-05,3
ACADSB,MCCC2,5.1935432440382755e-05,60
ATP1B2,GRIN2A,5.192023759686623e-05,364
ABCG2,SLC16A10,5.191816790793888e-05,21
RELA,TNF,5.1895867084095215e-05,64
ATF6B,GNAI1,5.189406023416628e-05,12
ABAT,GAD2,5.1833377365768886e-05,48
CALM1,TNNT1,5.176090596325777e-05,147
NR3C2,SLC12A3,5.1723203089437675e-05,140
DYNC1H1,DYNC1I2,5.162936597491452e-05,128
CLCNKA,SLC12A3,5.156057015653914e-05,28
GNB4,GNG4,5.147848002762245e-05,44
ATP1B2,SLC7A6,5.138468737353463e-05,29
ACADM,ACADS,5.135547599298309e-05,74
DPYS,PANK2,5.134254570293706e-05,2
ITPR1,KCNJ4,5.1332033334045846e-05,294
GAB2,PIK3CB,5.1280649677207225e-05,22
KCNA5,SLC8A1,5.125124138125243e-05,9702
ACADM,MCCC2,5.1160434730412874e-05,20
CYP4F2,PTGS1,5.113922818078542e-05,48
NUP62,SEH1L,5.113787538829177e-05,720
SCN5A,TNNT1,5.113238354996034e-05,294
GGT1,PTGS2,5.108616173383172e-05,94
CALM3,PLCB1,5.080233932754194e-05,69
HRAS,PIK3R1,5.078257221675607e-05,2160
SRC,STAT3,5.073403661152535e-05,156
ABCC8,KCNJ3,5.0543225538465915e-05,900
GNB4,GNG2,5.0532326269762486e-05,132
HTR1A,PCSK2,5.0439811054823084e-05,3640
RPLP1,RPLP2,5.043057142017915e-05,18
ATP1B2,CALM1,5.041500301478097e-05,52
RPL23,RPLP2,5.034542050452728e-05,18
IFT22,KIF17,5.0315219825569635e-05,2
RPL31,RPLP1,5.0260574694149796e-05,18
CACNA1H,KCNJ11,5.023415425428612e-05,100
KCNH2,SLC8A1,5.0214099444484525e-05,2646
CCKBR,HRH2,5.0199087150870625e-05,96
ABCC8,AGTR1,5.013577939278998e-05,294
SLC3A1,SLC7A6,5.003354014063155e-05,58
KCNH2,SCN5A,4.989720411387033e-05,294
ITPR1,PLCB1,4.988020189995304e-05,234
BAZ1B,H3-3A,4.983433451577577e-05,3
ATP1B2,SCN5A,4.971347532878312e-05,98
GRB2,MAPK3,4.957892086985107e-05,208
ATP1B1,NR3C2,4.9560664020315004e-05,145
RPL23,RPLP1,4.950077467213987e-05,18
CALM3,KCNJ3,4.946905448787839e-05,312
DYNLRB1,IFT22,4.944709523979629e-05,3
F13A1,FGG,4.93259418755887e-05,145
CACNA2D2,RYR2,4.929750021868848e-05,1080
KCNJ11,KCNJ5,4.929446678580973e-05,51
MAPK3,RELA,4.927376151936391e-05,152
ABCC8,CACNA1H,4.9271056493313536e-05,294
AMPD1,GUCY1B1,4.926410942562853e-05,38
KCNK1,SCN5A,4.919737551889805e-05,392
ITPR1,RYR2,4.9081742006473415e-05,312
ABCC8,KCND3,4.907404309791493e-05,147
IVD,MCCC2,4.9019380892190156e-05,22
KCNJ11,TPM1,4.900367809101969e-05,49
GNB1,GNB4,4.8997956761526185e-05,44
GALNT16,GCNT3,4.8974431216774476e-05,12
ITPR1,KCNJ3,4.885799285832634e-05,990
ABAT,SLC17A7,4.8857385206435566e-05,2
FDFT1,HMGCR,4.855213300647421e-05,68
ARC,FOS,4.847434710872133e-05,48
KCNH2,RYR2,4.839012478368224e-05,294
ACAT2,ALDH1A2,4.8379139913379275e-05,15
F13B,PLG,4.830544349943011e-05,27
SLC12A3,SLC22A2,4.821377145640682e-05,140
FGB,SRC,4.8188011981254917e-05,60
CYP4F2,PTGS2,4.815612504162998e-05,94
ABAT,SLC22A2,4.81091095714703e-05,10
GGT1,PTGS1,4.808570547165658e-05,47
CSNK2A2,CSNK2B,4.806914004499655e-05,69
ATP1B1,SLC7A6,4.800661098958159e-05,29
KCNJ4,KCNK1,4.799556388798156e-05,400
ABCC8,KCNJ5,4.799067668692647e-05,150
H2BC13,H3-3A,4.7851321950176384e-05,30
MAPK14,RELA,4.782356504828833e-05,116
ATP1B1,RYR2,4.7815221379921e-05,104
DBH,PNMT,4.775749431829013e-05,18
GRIN2A,PCSK2,4.763176900672679e-05,1820
GMPR,GUCY1B1,4.75704046929426e-05,38
HCN4,SLC8A1,4.74649666719562e-05,882
AQP3,ATP1B2,4.744664711697766e-05,56
FGFR3,PIK3CB,4.740236370911604e-05,48
F13A1,F13B,4.739366971078241e-05,135
CACNA2D2,SCN5A,4.726461372209319e-05,1000
KCNE1,KCNJ11,4.7216370323788226e-05,49
CYP4A11,PTGS1,4.718201265396793e-05,45
RYR2,SLC8A1,4.714996379792806e-05,1980
ARC,FUS,4.714437723231521e-05,30
RPL23,RPL31,4.7131802996869254e-05,18
ITPR1,SCN5A,4.708213147659655e-05,294
ATP1B2,NR3C2,4.691691775486895e-05,145
KCNJ11,PLCB1,4.689643517075126e-05,53
BEGAIN,GRIN2B,4.6860663589906246e-05,12
PPP2R5D,PPP2R5E,4.671986556914476e-05,22
CTDP1,NELFE,4.6685536145433616e-05,108
CALM1,KCNK1,4.660335477043101e-05,196
CYP4A11,PTGS2,4.6571796628230855e-05,88
GNAI1,MMP24,4.6534128766021844e-05,3
POLR2E,POLR2H,4.632896697442308e-05,567
KAT5,MRE11,4.627102282483975e-05,22
CACNA2D2,HTR1A,4.614138325260065e-05,7280
ADCY5,ADCY8,4.608799803203857e-05,896
DYNC1H1,MAPRE1,4.590315958807878e-05,19
ADCY3,ADCY8,4.581667400524911e-05,1728
PPP2R1B,PPP2R5D,4.5791583447751805e-05,36
CYP2C9,CYP3A4,4.575571371923104e-05,43
JAK2,SRC,4.574710849653045e-05,1092
ADCY7,GNAS,4.563262682744096e-05,168
PIK3CD,PIK3R1,4.553004202745585e-05,118
BEGAIN,LIN7A,4.5520854583452897e-05,4
AGTR1,ATP1B2,4.536082071499297e-05,100
ABCC8,KCNE1,4.5159590719656695e-05,147
MCM3,MCM6,4.511832744687657e-05,60
CYP1A1,CYP3A4,4.50619141647568e-05,24
GNAI1,MAPK3,4.500169503896261e-05,156
SLC22A2,SLC3A1,4.494223709854417e-05,300
KCNE2,KCNJ11,4.489939489326263e-05,147
ATP1B2,KCNJ4,4.489849698615582e-05,98
MAPK1,RAP1B,4.473241843086159e-05,42
ITPR1,KCNJ5,4.470472018406821e-05,165
GNAI1,GNAI2,4.467173000672744e-05,405
CALM3,KCNJ5,4.4652372579736735e-05,53
ATP1A4,ATP1B1,4.4571578062153894e-05,148
