gene,GenNet_experiment_105,GenNet_experiment_143,GenNet_experiment_144,GenNet_experiment_145,GenNet_experiment_146,mean,std,cv,n_seeds,mean_rank
CCNH,0.11294649,0.11532722,0.109084286,0.11317251,0.11119308,0.11234471720000001,0.00233983836113292,0.020827310971529327,5,67.4
RAP1B,0.12267073,0.10978297,0.0984716,0.11609337,0.11429054,0.11226184199999997,0.008992451731834317,0.08010247802485122,5,68.2
ROCK2,0.10912882,0.10391266,0.12016384,0.11522572,0.11239758,0.112165724,0.006138465678968969,0.0547267512753626,5,67.2
PLCB2,0.11338939,0.10545091,0.11074658,0.11542623,0.114592746,0.1119211712,0.0040256167239153835,0.03596832199621749,5,66.6
FGB,0.123336405,0.108493775,0.10347846,0.10809079,0.112649605,0.11120980700000001,0.007516751636181183,0.0675907263842404,5,69.0
FYN,0.11895319,0.11720011,0.1051413,0.10909238,0.10535993,0.11114938199999999,0.006545165957366551,0.058886210967565716,5,68.6
GNAI2,0.10898926,0.11025951,0.111686654,0.113963865,0.10376843,0.1097335438,0.0038119364624147668,0.0347381149866297,5,70.2
H2AZ2,0.13432066,0.086150825,0.107759856,0.09779844,0.11223909,0.1076537742,0.017969860941975408,0.16692272124701235,5,75.8
MAP2K4,0.10783423,0.08974013,0.12412262,0.13199402,0.08395546,0.10752929200000001,0.020893385778996423,0.19430413230095872,5,80.2
PAK2,0.10628093,0.10012646,0.105978385,0.10008974,0.12138993,0.106773089,0.008708769239502501,0.08156333511623422,5,74.4
MNAT1,0.103436306,0.10038899,0.10123451,0.11369816,0.11020707,0.1057930072,0.0058632911056862285,0.055422293598307214,5,77.6
PPP3R1,0.09773791,0.11554333,0.10643975,0.10624474,0.10220101,0.10563334799999999,0.0065831358971557025,0.06232062148740854,5,77.0
TBK1,0.10944455,0.10229811,0.1071364,0.10098957,0.106939405,0.105361607,0.0035640384980131752,0.03382672872494414,5,74.8
CUL1,0.115663856,0.10476618,0.101331465,0.10278534,0.09864431,0.1046382302,0.006555070041160902,0.06264507750782755,5,77.4
H2BC4,0.10747592,0.091146186,0.10451546,0.09927584,0.11748344,0.10397936919999999,0.009768405281752142,0.0939456101427488,5,80.2
KCNJ11,0.0992959,0.11160382,0.09750806,0.09419271,0.11483343,0.103486784,0.009142224972096784,0.088341956515885,5,81.4
CDK1,0.10436857,0.102174014,0.107375555,0.09467188,0.101316825,0.1019813688,0.0047091223036272575,0.046176300230510905,5,82.2
DRD1,0.102025114,0.099199854,0.0989436,0.099714465,0.10683399,0.10134340460000002,0.0033022178628208036,0.032584437792025814,5,82.6
CCNE1,0.10094891,0.1025898,0.0943996,0.11185895,0.09428715,0.10081688200000001,0.0072268050271797135,0.07168248892263612,5,84.2
FAS,0.1130086,0.08814809,0.10525038,0.100634106,0.092183575,0.0998449502,0.009982939481309612,0.09998442045704592,5,86.2
PRKCA,0.11757573,0.08899191,0.11130508,0.08963119,0.090276256,0.09955603319999999,0.013774678307346465,0.13836106024508082,5,89.8
CXCL8,0.11183211,0.09349002,0.13474512,0.07798561,0.07966781,0.09954413399999999,0.023909173337263875,0.240186662704443,5,94.2
GGT1,0.09064296,0.10116551,0.10419572,0.10406959,0.09742245,0.099499246,0.005667191353927451,0.056957128639220554,5,86.6
PPP2CA,0.10032814,0.10587707,0.081244916,0.13100082,0.07762584,0.09921535719999999,0.021476593993529306,0.2164644123614495,5,94.8
GNAI1,0.10850194,0.10275998,0.08703344,0.09315709,0.104453005,0.099181091,0.00882232626131453,0.08895169605781539,5,88.6
CYP4A11,0.09885207,0.0972785,0.10432073,0.10324161,0.09014386,0.098767354,0.0056446315989823435,0.057150782828325475,5,88.2
CYP1A2,0.1026992,0.09685218,0.09881742,0.100081235,0.09399479,0.098488965,0.0032880830000929155,0.03338529347011531,5,87.2
CYP3A4,0.10476938,0.09450271,0.0904407,0.08474017,0.11223585,0.097337762,0.011084767480947444,0.11387941589357113,5,93.2
ITPR3,0.10354946,0.0944499,0.095670454,0.09572595,0.093131706,0.096505494,0.004078306934883395,0.04225984206539987,5,90.4
MAP2K3,0.08947086,0.10693807,0.093454406,0.09530529,0.09118395,0.09527051519999999,0.006887802851722397,0.07229731924156108,5,94.6
WNT3A,0.10000115,0.091360845,0.092937864,0.10252353,0.08655606,0.0946758898,0.006517011289594349,0.06883496213620323,5,96.0
ADCY8,0.10786435,0.0918105,0.08427318,0.092632286,0.09625986,0.09456803520000001,0.008616690596570425,0.09111631195833943,5,97.0
ABCC8,0.09385281,0.087335356,0.09250346,0.09197732,0.10678098,0.0944899852,0.007295941220571557,0.07721391007871126,5,98.8
PPP2R5E,0.094943106,0.10226132,0.09386049,0.08762464,0.091079146,0.0939537404,0.005438846926869959,0.05788856200630794,5,98.4
JAG1,0.08732793,0.093861826,0.09553783,0.09476344,0.09749592,0.0937973892,0.0038567983109923203,0.04111839725910325,5,96.8
FOXO1,0.09511229,0.09234661,0.092592485,0.09371414,0.09305644,0.093364393,0.0011072517929969692,0.011859465449499245,5,98.4
CSNK2B,0.08779877,0.093205236,0.09751072,0.09632347,0.08902483,0.0927726052,0.004302045956328823,0.04637194295723867,5,99.0
AGTR1,0.09672008,0.09408718,0.09126794,0.08027028,0.09635259,0.091739614,0.006770593660158614,0.07380229068937018,5,101.8
ADCY3,0.09577586,0.090035394,0.07878727,0.090109155,0.10330708,0.0916029518,0.008990691660024613,0.09814849285265732,5,104.0
IQGAP1,0.089530095,0.10638297,0.088688545,0.085516535,0.087379254,0.0914994798,0.008456802004845722,0.09242459108325686,5,105.0
CYP4F3,0.09469235,0.08553633,0.08626904,0.09498188,0.09454937,0.09120579399999999,0.004850483501469724,0.053181747438871316,5,102.8
PLA2G4A,0.09997082,0.09568167,0.08616181,0.086862944,0.085273415,0.0907901318,0.006623641610547492,0.07295552368112646,5,105.2
DVL3,0.094164245,0.0863266,0.09080805,0.08247003,0.09777142,0.090308069,0.00608499452045809,0.06738040783994716,5,106.0
POLR2H,0.11221571,0.08939061,0.07803647,0.08824948,0.07886233,0.08935092,0.013802542031310754,0.15447565656079146,5,110.8
PTEN,0.095254526,0.08379653,0.08246759,0.09048881,0.09354509,0.0891105092,0.005737615202360929,0.06438763793261917,5,108.2
CSNK2A2,0.08709135,0.091062196,0.08625894,0.087113,0.0938597,0.0890770372,0.003261778139588774,0.03661749696799271,5,109.4
CCND3,0.09145715,0.08517663,0.08406929,0.09408015,0.090423144,0.08904127280000002,0.004265922849473392,0.04790949989063264,5,108.2
FGF20,0.09330505,0.09168068,0.08890258,0.08556618,0.08574826,0.08904055000000001,0.0034671927668071733,0.03893948057157298,5,109.4
GRIN2A,0.08732475,0.0812131,0.0969811,0.09266237,0.08384334,0.08840493199999999,0.0064298872099726595,0.07273222279015677,5,111.4
MAPK10,0.099491626,0.066989854,0.05837676,0.15123013,0.06592416,0.088402506,0.038521429254653544,0.4357504215395607,5,136.4
PEDS1,0.09507857,0.083394535,0.08328721,0.093283184,0.08498216,0.0880051318,0.005712838840318901,0.06491483761767289,5,111.0
CSK,0.08599715,0.08943553,0.09160802,0.082306504,0.08477008,0.0868234568,0.0037086713667054934,0.042715085339766076,5,114.4
RXRA,0.09507792,0.083343,0.089447215,0.07454581,0.09068377,0.086619543,0.007946203088698712,0.09173683921073923,5,116.2
VEGFA,0.088858485,0.08364553,0.091148235,0.08604691,0.082686454,0.0864771228,0.0035377374797378167,0.04090951878590735,5,115.4
KAT5,0.094137594,0.08273684,0.081267156,0.08337435,0.08676516,0.08565622,0.005151627071345326,0.060143058745124704,5,116.6
PIK3CG,0.08775827,0.0834648,0.08070496,0.091172755,0.08479476,0.08557910900000001,0.004027420160993879,0.04706078630701657,5,117.0
ADCY2,0.083219536,0.08131041,0.093936235,0.0776255,0.087978184,0.084813973,0.006319003528303181,0.0745042745291885,5,117.8
ERBB2,0.078219555,0.083569996,0.08507928,0.08849637,0.08816068,0.08470517619999998,0.004177485099629588,0.04931794356658913,5,118.6
GNG2,0.09071863,0.080564596,0.072975904,0.098603524,0.07579091,0.0837307128,0.01070936711719685,0.12790249550099198,5,123.6
FGA,0.08295771,0.077742316,0.09081286,0.08038211,0.08361298,0.0831015952,0.004895490156172838,0.05890970136482817,5,122.8
SHC2,0.08490689,0.07475183,0.089477554,0.076156616,0.08790037,0.082638652,0.006779010113334248,0.0820319541675758,5,124.8
RHEB,0.07467786,0.084961414,0.07637318,0.09787733,0.07822171,0.08242229879999999,0.0094804827440641,0.11502327503712019,5,126.6
BTRC,0.07214152,0.07477829,0.060198862,0.06750265,0.13681965,0.08228819439999999,0.030982189417524973,0.3765083149949998,5,143.8
PLCB1,0.077094145,0.08185462,0.077033006,0.08757388,0.07841812,0.0803947542,0.0044658008861281785,0.0555484114674758,5,130.8
MAP3K7,0.08912947,0.079113655,0.07384078,0.07799273,0.08096044,0.08020741499999999,0.005630392834512084,0.07019790918971874,5,129.6
PTGS2,0.07853751,0.07824379,0.083310165,0.07949199,0.08055203,0.080027097,0.002045695660122739,0.025562537400584943,5,129.2
IFNA2,0.08361832,0.074199244,0.08016719,0.08068846,0.08059428,0.0798534988,0.0034456057222217408,0.04314908894413704,5,129.4
H3-3A,0.08024702,0.07400617,0.07774105,0.082531855,0.08435906,0.079777031,0.004069796985158474,0.051014645871672946,5,130.6
SLC8A1,0.082615644,0.07603923,0.07871824,0.080455,0.07717195,0.07900001279999999,0.0026161623146756783,0.033115973301154684,5,133.0
YWHAB,0.09042067,0.07774916,0.07436728,0.08252497,0.067775615,0.078567539,0.008528416003271358,0.10854884996806832,5,134.2
FOXO3,0.14574552,0.07207595,0.049211655,0.059702538,0.06174124,0.0776953806,0.03889729773325097,0.500638486263506,5,173.8
YWHAQ,0.07619319,0.07153105,0.078062415,0.07914408,0.08075928,0.077138003,0.003546939636347793,0.0459817404962868,5,138.6
IFNA5,0.080949455,0.069732614,0.079614185,0.07631783,0.076681525,0.07665912180000001,0.004336843604010723,0.05657309270154883,5,140.6
DYNC1H1,0.080235384,0.076327905,0.077839024,0.06942462,0.079439886,0.07665336380000001,0.004311670939169082,0.05624894623566515,5,139.6
STAT5A,0.100094095,0.072320566,0.07346699,0.06839509,0.068657406,0.07658682939999999,0.01332766190225141,0.1740202852979237,5,143.2
IL2,0.077163905,0.076011434,0.080045894,0.07634272,0.07302742,0.07651827460000002,0.0025166798512321386,0.03288991896887516,5,139.6
LTA4H,0.081048965,0.07671366,0.06822448,0.07823947,0.07628908,0.076103131,0.0047829301309113845,0.06284800727727463,5,141.6
ACADM,0.08151121,0.07317258,0.061965946,0.07511006,0.08480873,0.0753137052,0.008822600606530095,0.11714468944398841,5,145.8
E2F3,0.074872054,0.071850844,0.07611277,0.076606005,0.07650045,0.0751884246,0.0019890257588359196,0.026453882621127824,5,146.0
IFNA13,0.086000614,0.06406923,0.07154407,0.090489075,0.05927115,0.0742748278,0.013574953834310604,0.18276654738081538,5,156.0
TNNT1,0.076151304,0.07701891,0.07699885,0.071969636,0.06737943,0.073903626,0.004202466929347329,0.05686415074339288,5,148.4
CYP4F2,0.07249038,0.07437151,0.074300505,0.06927012,0.077474415,0.073581386,0.003003098877874737,0.04081329587723092,5,150.4
PC,0.07285702,0.08273386,0.06448764,0.07697134,0.070555426,0.07352105719999999,0.00684869927355401,0.09315289434594816,5,151.4
DUSP6,0.07831527,0.07338581,0.073685244,0.06897808,0.07138491,0.07314986279999999,0.0034475558649903304,0.04713003870446536,5,149.4
GNG4,0.109240934,0.056829683,0.04894732,0.07689587,0.07224133,0.0728310274,0.02328640423499993,0.3197319201211753,5,172.0
RYR2,0.083153106,0.07273574,0.06549629,0.07309576,0.06937662,0.0727715032,0.006563879516392819,0.09019848742650156,5,151.6
GRIN2B,0.07476412,0.06908654,0.07437932,0.06748637,0.07783248,0.072709766,0.004291317165565834,0.05901981812960083,5,153.6
GNAI3,0.07309712,0.068893135,0.07110163,0.065677874,0.08275643,0.0723052378,0.006458861432395748,0.08932771164187704,5,155.4
STAT5B,0.079446726,0.07536443,0.076741986,0.06536111,0.063288376,0.07204052559999999,0.007232195207825409,0.10039065022903457,5,156.6
SLC22A2,0.07582017,0.06970866,0.06978883,0.07676704,0.06721412,0.07185976399999999,0.004191187112588746,0.05832453210657283,5,155.6
PLG,0.06525883,0.08590151,0.06474642,0.07588119,0.06706114,0.07176981800000001,0.009089840911912042,0.12665269559290288,5,159.2
H3C11,0.07894431,0.055855002,0.059214275,0.070379145,0.09445241,0.0717690284,0.015643131974694368,0.21796494007844708,5,166.6
RRM2,0.06412036,0.07282649,0.06534921,0.074825026,0.07719916,0.0708640492,0.005821617803067562,0.08215192144379413,5,160.8
IL12B,0.07196315,0.06975869,0.06928812,0.06861136,0.07084491,0.070093246,0.0013245453416285934,0.018896904013099826,5,160.8
RPS6KA2,0.071742445,0.072513916,0.068196125,0.066882454,0.07023777,0.069914542,0.00236373462633298,0.03380891240527586,5,162.8
GNAO1,0.06643711,0.07144251,0.07055251,0.074196085,0.06482457,0.069490557,0.0038136213666664655,0.05487970641344069,5,164.6
AKT3,0.066603936,0.06814997,0.048344124,0.0647117,0.099080525,0.06937805100000001,0.01840952046763435,0.2653507874937903,5,178.2
KITLG,0.06869423,0.06722578,0.070646025,0.07003878,0.06761365,0.068843693,0.0014857339113700679,0.021581263970979418,5,163.8
UBE2S,0.07294171,0.06640975,0.06564779,0.06413999,0.07030069,0.067887986,0.003626720304418308,0.05342212250070739,5,169.0
MRE11,0.07719841,0.06742632,0.064611,0.06723827,0.062888704,0.0678725408,0.00554638455267692,0.08171765027952099,5,171.2
PPP2R1A,0.07808088,0.072066136,0.061182752,0.062766254,0.06465578,0.06775036040000001,0.007122092016919527,0.10512257019550152,5,174.4
KCNH2,0.07169496,0.06984564,0.06592246,0.06762007,0.06352907,0.06772244000000002,0.0032063863212579338,0.04734599523079695,5,170.2
LEF1,0.07676964,0.06484026,0.057121284,0.07082455,0.06815583,0.0675423128,0.00728340549180184,0.10783470671738442,5,173.6
TYK2,0.06357913,0.06743251,0.07035921,0.07223304,0.063829236,0.0674866252,0.003854482450343394,0.05711476072363141,5,171.4
ACE,0.06777346,0.07667531,0.06608718,0.067296535,0.05950996,0.06746848899999999,0.00612646567794842,0.09080484488022876,5,174.0
PARP1,0.074528694,0.05322179,0.07015427,0.06403453,0.06911519,0.0662108948,0.008164317628502412,0.12330776759873077,5,183.8
FGF6,0.07323226,0.065770686,0.058152776,0.06584209,0.066485666,0.0658966956,0.005341922457335258,0.08106510362463848,5,179.6
CDK9,0.06691344,0.058797188,0.07139742,0.07188388,0.05996593,0.0657915716,0.006177779710927932,0.0938992573165395,5,182.4
ACADSB,0.06574109,0.062379345,0.06527828,0.07002271,0.065049805,0.065694246,0.002752939134591882,0.04190533116997617,5,178.2
